year	second	third	fourth	fifth	sixth	seventh	eighth	ninth	tenth	twentieth	eleventh	fifteenth	twelfth	nineteenth	thirteenth
1982	13.6666666667	10.6666666667	11.3333333333	5.33333333333	8.66666666667	3.66666666667	5.0	3.66666666667	4.33333333333	1.33333333333	2.0	1.66666666667	2.33333333333	2.33333333333	1.66666666667
1983	15.0	11.0	9.66666666667	6.0	8.33333333333	2.66666666667	5.33333333333	3.33333333333	4.0	2.0	2.0	1.66666666667	2.33333333333	1.0	1.66666666667
1984	21.0	11.3333333333	8.66666666667	6.66666666667	3.66666666667	3.33333333333	4.0	3.33333333333	4.33333333333	2.0	2.0	1.0	2.33333333333	1.66666666667	2.66666666667
1985	21.0	9.33333333333	8.33333333333	7.33333333333	4.33333333333	4.0	3.33333333333	4.66666666667	4.0	1.66666666667	2.0	1.33333333333	1.66666666667	1.66666666667	2.33333333333
1986	20.6666666667	8.66666666667	9.33333333333	7.66666666667	4.33333333333	5.33333333333	2.66666666667	4.66666666667	4.0	1.0	1.66666666667	1.66666666667	1.33333333333	1.66666666667	2.33333333333
1987	17.6666666667	9.66666666667	8.0	10.6666666667	5.33333333333	4.33333333333	2.33333333333	4.66666666667	4.0	1.33333333333	2.33333333333	2.0	1.66666666667	1.33333333333	1.33333333333
1988	19.0	10.3333333333	7.66666666667	9.33333333333	6.66666666667	3.33333333333	2.66666666667	2.66666666667	4.33333333333	1.33333333333	2.66666666667	2.0	2.0	1.66666666667	1.33333333333
1989	20.0	11.0	7.66666666667	9.33333333333	7.66666666667	3.33333333333	3.0	3.0	4.66666666667	2.33333333333	3.0	2.0	2.0	1.66666666667	1.33333333333
1990	20.3333333333	12.3333333333	7.66666666667	7.33333333333	8.0	6.66666666667	4.66666666667	3.33333333333	4.33333333333	2.33333333333	2.33333333333	2.0	2.33333333333	1.66666666667	1.33333333333
1991	17.3333333333	13.0	6.0	7.66666666667	5.66666666667	7.66666666667	4.66666666667	3.33333333333	4.0	3.0	2.33333333333	2.0	2.33333333333	1.66666666667	1.66666666667
1992	17.0	15.0	6.33333333333	7.66666666667	5.33333333333	7.33333333333	5.0	4.0	3.0	2.33333333333	2.33333333333	2.0	2.66666666667	1.66666666667	2.0
1993	17.0	13.3333333333	7.66666666667	8.0	6.33333333333	5.0	3.33333333333	3.66666666667	3.33333333333	3.0	2.33333333333	1.66666666667	2.33333333333	1.66666666667	2.33333333333
1994	19.0	12.3333333333	8.66666666667	8.66666666667	6.33333333333	4.33333333333	3.33333333333	3.66666666667	3.0	3.33333333333	2.0	1.33333333333	2.0	1.33333333333	2.0
1995	19.3333333333	13.0	8.0	7.66666666667	5.33333333333	3.66666666667	4.0	3.33333333333	3.0	3.33333333333	2.33333333333	1.0	2.0	1.66666666667	1.33333333333
1996	18.6666666667	15.6666666667	6.66666666667	6.0	5.66666666667	2.66666666667	4.66666666667	3.66666666667	2.33333333333	2.66666666667	2.0	1.0	1.66666666667	1.66666666667	1.0
1997	17.6666666667	14.0	5.66666666667	4.66666666667	6.33333333333	2.66666666667	4.0	3.33333333333	2.0	2.33333333333	2.0	1.66666666667	1.33333333333	2.66666666667	1.0
1998	14.3333333333	11.0	4.33333333333	4.0	6.66666666667	3.33333333333	3.0	2.66666666667	2.0	3.0	1.33333333333	1.66666666667	1.33333333333	2.33333333333	1.33333333333
1999	14.6666666667	8.0	4.33333333333	4.33333333333	3.66666666667	3.33333333333	3.0	2.33333333333	3.0	3.33333333333	1.33333333333	2.0	1.66666666667	2.0	1.33333333333
2000	13.3333333333	9.33333333333	6.0	4.0	3.66666666667	3.66666666667	2.66666666667	2.33333333333	2.66666666667	3.0	1.33333333333	1.33333333333	1.66666666667	1.33333333333	1.66666666667
2001	17.0	11.0	6.0	6.0	4.0	3.66666666667	2.0	2.0	3.0	3.0	2.33333333333	1.66666666667	1.33333333333	1.66666666667	1.33333333333
2002	16.3333333333	15.3333333333	8.0	5.66666666667	4.0	4.33333333333	2.66666666667	2.0	2.0	2.66666666667	2.33333333333	1.33333333333	1.33333333333	1.66666666667	1.33333333333
2003	18.3333333333	15.3333333333	6.66666666667	6.33333333333	3.66666666667	4.0	3.33333333333	2.66666666667	2.33333333333	2.66666666667	2.0	1.33333333333	2.0	1.66666666667	1.0
2004	14.6666666667	13.6666666667	8.0	5.33333333333	3.33333333333	3.33333333333	3.66666666667	3.0	2.0	2.33333333333	1.33333333333	1.0	2.33333333333	1.33333333333	1.0
2005	14.3333333333	10.6666666667	6.66666666667	5.66666666667	3.66666666667	2.66666666667	2.66666666667	2.66666666667	2.66666666667	2.66666666667	1.66666666667	1.0	2.33333333333	1.33333333333	1.0
2006	14.6666666667	11.3333333333	7.66666666667	6.0	3.66666666667	3.0	2.33333333333	2.0	2.66666666667	3.66666666667	2.66666666667	1.0	1.66666666667	1.33333333333	1.66666666667
2007	18.6666666667	11.6666666667	8.0	6.66666666667	4.66666666667	3.66666666667	2.33333333333	1.66666666667	2.33333333333	3.33333333333	2.33333333333	1.0	1.33333333333	1.66666666667	2.66666666667
2008	19.6666666667	14.0	7.33333333333	6.33333333333	6.33333333333	3.66666666667	3.33333333333	1.66666666667	1.66666666667	3.0	2.0	1.33333333333	1.0	1.66666666667	2.66666666667
2009	19.6666666667	12.6666666667	6.33333333333	5.66666666667	6.66666666667	4.66666666667	3.66666666667	1.66666666667	2.33333333333	1.66666666667	1.0	2.33333333333	1.66666666667	1.33333333333	2.0
2010	16.6666666667	12.3333333333	6.0	3.66666666667	5.66666666667	4.66666666667	3.66666666667	3.33333333333	3.33333333333	1.66666666667	1.33333333333	2.66666666667	1.66666666667	1.33333333333	1.33333333333
2011	14.3333333333	8.33333333333	6.33333333333	2.66666666667	3.33333333333	4.33333333333	3.0	3.33333333333	3.33333333333	1.66666666667	2.0	2.33333333333	2.33333333333	1.33333333333	1.33333333333
2012	12.3333333333	7.66666666667	5.66666666667	3.0	3.0	3.33333333333	3.0	3.0	3.33333333333	1.66666666667	2.66666666667	2.33333333333	1.66666666667	1.33333333333	3.0
2013	12.0	7.0	5.0	4.0	2.5	3.0	3.0	1.5	3.0	1.5	3.0	2.5	2.0	1.0	3.5
2014	12.0	7.0	3.0	5.0	4.0	4.0	3.0	1.0	4.0	1.0	3.0	4.0	1.0	1.0	6.0
