year	engin	activ	gener	deform	polit	machin	fundament	tecton	sens	futur	percept	genom	nativ	silic
1983	192.666666667	96.6666666667	65.6666666667	28.6666666667	31.6666666667	16.3333333333	33.6666666667	35.0	17.6666666667	10.6666666667	16.0	6.0	5.66666666667	12.3333333333
1984	222.333333333	94.0	72.3333333333	30.3333333333	28.0	16.6666666667	34.6666666667	33.3333333333	19.6666666667	13.6666666667	16.3333333333	5.66666666667	6.0	10.0
1985	264.666666667	90.3333333333	76.6666666667	32.0	27.0	22.0	34.0	33.0	19.6666666667	12.3333333333	17.0	5.0	6.33333333333	13.3333333333
1986	297.0	82.3333333333	80.3333333333	32.0	27.0	28.0	31.6666666667	34.0	18.3333333333	13.6666666667	17.3333333333	6.66666666667	6.33333333333	14.6666666667
1987	325.0	76.6666666667	77.3333333333	35.3333333333	28.6666666667	32.6666666667	31.0	34.0	17.3333333333	15.3333333333	18.0	8.33333333333	7.33333333333	17.0
1988	334.333333333	76.3333333333	81.3333333333	40.6666666667	28.6666666667	33.0	31.0	32.0	19.6666666667	14.0	17.6666666667	11.6666666667	8.33333333333	12.3333333333
1989	362.666666667	83.3333333333	92.6666666667	43.0	29.3333333333	36.0	31.6666666667	32.0	20.3333333333	15.3333333333	16.3333333333	13.6666666667	9.66666666667	14.6666666667
1990	371.333333333	91.3333333333	95.6666666667	46.6666666667	30.6666666667	36.3333333333	37.6666666667	40.6666666667	18.6666666667	15.3333333333	15.0	15.3333333333	10.6666666667	14.6666666667
1991	356.333333333	98.6666666667	91.3333333333	43.0	35.0	41.3333333333	35.0	44.6666666667	15.6666666667	18.6666666667	13.0	15.6666666667	13.0	18.6666666667
1992	331.333333333	104.666666667	82.6666666667	42.6666666667	38.3333333333	40.0	35.0	49.3333333333	19.6666666667	16.0	14.3333333333	16.3333333333	14.0	14.3333333333
1993	308.666666667	107.0	87.6666666667	36.6666666667	45.0	42.0	32.0	42.0	21.6666666667	18.0	17.0	15.3333333333	14.0	12.6666666667
1994	311.333333333	105.666666667	98.0	39.3333333333	47.0	39.6666666667	31.3333333333	33.0	29.3333333333	24.0	17.3333333333	14.3333333333	12.6666666667	10.0
1995	301.666666667	107.0	106.333333333	43.0	46.3333333333	38.0	35.0	28.0	25.3333333333	27.0	17.3333333333	15.3333333333	12.0	10.6666666667
1996	297.666666667	108.0	104.333333333	45.3333333333	51.6666666667	38.3333333333	34.0	30.6666666667	28.6666666667	28.3333333333	14.0	23.3333333333	12.6666666667	10.3333333333
1997	288.333333333	116.333333333	102.333333333	47.3333333333	56.0	36.3333333333	36.0	33.3333333333	26.0	28.0	16.3333333333	32.0	12.3333333333	11.3333333333
1998	298.666666667	136.666666667	97.0	49.0	58.6666666667	37.3333333333	37.3333333333	31.3333333333	26.6666666667	28.0	15.0	43.3333333333	14.0	11.3333333333
1999	337.333333333	139.0	102.666666667	52.0	54.0	36.0	36.6666666667	30.3333333333	28.6666666667	30.0	18.0	63.3333333333	14.0	12.6666666667
2000	394.0	149.666666667	115.0	56.3333333333	55.0	37.0	42.0	32.6666666667	45.0	31.6666666667	15.6666666667	86.3333333333	18.6666666667	11.3333333333
2001	410.0	128.0	127.0	59.0	62.0	37.6666666667	43.0	33.3333333333	59.0	35.3333333333	17.6666666667	114.333333333	20.3333333333	11.6666666667
2002	404.0	132.666666667	137.333333333	56.6666666667	64.6666666667	37.3333333333	46.6666666667	30.6666666667	68.3333333333	41.6666666667	19.6666666667	129.0	22.6666666667	14.0
2003	370.0	114.0	130.0	46.6666666667	59.3333333333	34.6666666667	44.3333333333	25.0	56.0	40.0	24.6666666667	125.666666667	22.0	14.6666666667
2004	339.666666667	121.333333333	126.666666667	39.6666666667	58.0	37.6666666667	47.0	21.6666666667	54.3333333333	56.3333333333	25.3333333333	111.666666667	20.3333333333	13.3333333333
2005	340.333333333	128.333333333	133.0	37.3333333333	66.6666666667	42.0	51.0	20.6666666667	57.3333333333	60.6666666667	24.6666666667	101.333333333	22.6666666667	9.33333333333
2006	366.333333333	144.666666667	150.0	43.3333333333	72.6666666667	52.3333333333	57.0	22.0	65.6666666667	68.3333333333	22.6666666667	104.666666667	19.3333333333	8.0
2007	433.333333333	162.0	179.666666667	50.0	82.3333333333	58.3333333333	71.6666666667	22.3333333333	83.0	71.0	26.3333333333	112.333333333	23.0	10.3333333333
2008	448.666666667	159.0	194.0	58.6666666667	90.0	57.3333333333	79.6666666667	28.3333333333	89.3333333333	81.0	30.3333333333	107.666666667	23.0	11.6666666667
2009	433.666666667	164.0	194.333333333	62.0	98.0	51.3333333333	86.0	32.3333333333	94.3333333333	92.6666666667	35.0	101.0	24.0	12.0
2010	400.666666667	143.333333333	183.0	57.3333333333	91.6666666667	46.0	76.3333333333	33.6666666667	97.0	88.6666666667	36.3333333333	84.6666666667	18.3333333333	10.6666666667
2011	394.333333333	146.0	173.0	52.6666666667	68.0	46.6666666667	75.0	24.6666666667	98.0	88.3333333333	32.6666666667	83.0	16.0	10.6666666667
2012	404.333333333	135.666666667	172.333333333	51.0	57.0	48.6666666667	73.0	23.0	101.666666667	84.3333333333	35.0	87.6666666667	19.3333333333	10.3333333333
2013	399.0	145.0	166.5	52.0	46.5	48.5	74.0	23.0	93.5	86.5	34.5	97.0	23.5	9.0
2014	396.0	133.0	165.0	58.0	56.0	49.0	68.0	27.0	91.0	80.0	43.0	103.0	28.0	6.0
