year	boron	filament	gallium	germanium	molybdenum	selenium	tungsten	barium	cadmium	vanadium	cobalt	tellurium	indium	yttrium	chromium
1989	6.33333333333	4.0	4.33333333333	4.0	3.33333333333	1.66666666667	3.33333333333	2.33333333333	1.0	2.66666666667	2.66666666667	2.33333333333	1.66666666667	1.33333333333	2.0
1990	7.0	4.0	6.66666666667	4.66666666667	4.33333333333	2.33333333333	2.66666666667	2.33333333333	1.0	2.66666666667	2.33333333333	2.33333333333	2.66666666667	1.33333333333	2.0
1991	7.0	5.33333333333	7.66666666667	4.33333333333	3.33333333333	3.0	2.33333333333	2.66666666667	1.33333333333	2.66666666667	2.0	2.0	3.33333333333	2.0	1.33333333333
1992	6.66666666667	6.66666666667	7.66666666667	3.66666666667	2.66666666667	3.0	1.66666666667	3.66666666667	1.66666666667	2.0	1.66666666667	1.66666666667	4.0	2.0	1.33333333333
1993	6.0	7.33333333333	6.33333333333	3.0	2.33333333333	3.33333333333	3.66666666667	4.0	2.0	1.66666666667	2.33333333333	1.66666666667	3.33333333333	3.0	2.0
1994	6.66666666667	7.33333333333	5.66666666667	3.0	2.0	3.0	4.33333333333	3.33333333333	2.0	1.0	2.0	2.33333333333	2.33333333333	2.33333333333	2.0
1995	6.0	7.0	4.33333333333	3.0	2.33333333333	3.66666666667	4.0	2.33333333333	1.66666666667	1.0	2.33333333333	2.33333333333	1.66666666667	2.33333333333	1.66666666667
1996	5.33333333333	6.66666666667	3.33333333333	3.0	2.0	4.0	2.33333333333	2.0	2.0	1.0	1.66666666667	2.0	1.66666666667	1.66666666667	1.33333333333
1997	4.66666666667	6.66666666667	3.33333333333	2.33333333333	2.0	3.66666666667	1.66666666667	1.66666666667	2.33333333333	1.0	2.33333333333	1.0	1.33333333333	2.0	1.33333333333
1998	5.66666666667	5.33333333333	3.33333333333	2.0	2.66666666667	3.66666666667	1.66666666667	1.66666666667	2.66666666667	1.33333333333	1.66666666667	1.33333333333	1.33333333333	2.33333333333	2.0
1999	6.0	5.0	3.66666666667	2.33333333333	3.66666666667	2.66666666667	1.66666666667	1.66666666667	2.0	1.33333333333	2.0	1.66666666667	1.33333333333	2.33333333333	2.0
2000	6.0	5.33333333333	3.33333333333	3.33333333333	4.0	2.0	1.66666666667	2.33333333333	1.33333333333	1.66666666667	1.66666666667	1.66666666667	1.33333333333	1.66666666667	2.0
2001	6.66666666667	6.0	3.33333333333	5.0	3.66666666667	1.66666666667	1.33333333333	2.33333333333	2.0	3.0	2.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333
2002	5.66666666667	7.0	2.33333333333	5.33333333333	3.33333333333	1.33333333333	1.0	2.0	2.66666666667	3.0	2.0	1.33333333333	1.66666666667	1.0	1.33333333333
2003	5.0	6.33333333333	1.66666666667	5.0	3.0	2.33333333333	1.0	1.33333333333	3.0	2.66666666667	2.33333333333	1.33333333333	1.66666666667	1.0	1.33333333333
2004	3.0	5.0	1.33333333333	3.0	3.0	3.0	1.33333333333	1.66666666667	2.0	1.0	2.0	1.33333333333	1.33333333333	1.0	1.66666666667
2005	3.66666666667	4.66666666667	1.66666666667	3.0	2.33333333333	3.0	1.66666666667	2.66666666667	1.33333333333	1.66666666667	2.0	1.33333333333	1.33333333333	1.0	1.33333333333
2006	3.33333333333	4.33333333333	2.0	3.0	2.0	3.66666666667	1.66666666667	2.66666666667	1.0	3.0	2.0	1.33333333333	2.33333333333	1.0	2.0
2007	4.66666666667	6.33333333333	4.0	4.33333333333	2.0	3.33333333333	2.0	2.0	1.0	3.66666666667	4.0	1.33333333333	2.33333333333	1.0	3.0
2008	4.66666666667	7.33333333333	5.0	3.66666666667	2.0	4.0	3.66666666667	1.33333333333	1.0	3.33333333333	5.0	1.33333333333	2.66666666667	1.33333333333	3.0
2009	5.0	8.33333333333	5.0	3.66666666667	4.66666666667	3.33333333333	4.66666666667	1.33333333333	1.0	2.33333333333	4.33333333333	1.33333333333	1.66666666667	1.33333333333	2.33333333333
2010	4.66666666667	7.0	3.0	2.66666666667	4.33333333333	4.0	4.0	2.33333333333	1.0	2.33333333333	2.33333333333	1.33333333333	1.66666666667	1.66666666667	1.0
2011	7.0	5.0	2.33333333333	3.0	4.0	4.0	2.66666666667	2.0	1.0	3.33333333333	3.0	1.0	1.0	1.66666666667	1.0
2012	8.0	4.0	3.0	2.66666666667	2.33333333333	3.33333333333	2.0	2.33333333333	1.0	4.0	5.0	1.0	1.33333333333	1.66666666667	1.0
2013	9.0	3.0	3.5	3.0	2.5	2.5	2.5	1.5	1.0	4.5	7.0	1.0	1.5	1.5	1.0
2014	7.0	3.0	4.0	3.0	4.0	2.0	2.0	2.0	1.0	4.0	7.0	1.0	2.0	1.0	1.0
