year	sweden	polish	switzerland	norway	poland	denmark	austria	berlin	finland	belgium	moscow	romania	norwegian	bulgaria	amsterdam
2003	2.66666666667	3.33333333333	1.66666666667	4.33333333333	2.66666666667	3.33333333333	1.66666666667	3.0	3.66666666667	2.33333333333	2.66666666667	3.0	2.33333333333	1.33333333333	1.66666666667
2004	2.33333333333	3.33333333333	1.0	3.66666666667	1.66666666667	3.0	1.66666666667	3.0	2.33333333333	1.66666666667	2.0	3.0	2.33333333333	1.66666666667	1.66666666667
2005	1.0	3.0	2.66666666667	2.33333333333	1.66666666667	3.66666666667	1.66666666667	1.66666666667	2.0	1.33333333333	1.66666666667	2.33333333333	2.0	2.0	1.66666666667
2006	1.33333333333	3.33333333333	3.0	2.33333333333	1.66666666667	2.0	1.66666666667	1.66666666667	1.33333333333	2.0	1.33333333333	2.66666666667	1.66666666667	2.33333333333	1.0
2007	2.33333333333	3.33333333333	3.33333333333	2.0	3.0	2.33333333333	3.0	2.0	1.0	2.0	1.33333333333	2.33333333333	1.66666666667	1.66666666667	1.33333333333
2008	2.66666666667	4.33333333333	3.33333333333	2.33333333333	4.0	1.66666666667	2.66666666667	1.33333333333	1.33333333333	2.0	1.0	2.33333333333	1.66666666667	1.33333333333	1.33333333333
2009	3.0	3.0	3.33333333333	1.66666666667	4.0	3.33333333333	3.0	1.33333333333	1.66666666667	1.33333333333	1.33333333333	1.66666666667	1.0	1.33333333333	1.33333333333
2010	2.0	2.33333333333	4.66666666667	1.33333333333	4.33333333333	3.0	2.33333333333	1.66666666667	2.0	1.33333333333	1.33333333333	1.0	1.0	1.33333333333	1.0
2011	2.33333333333	2.0	3.33333333333	1.0	4.0	3.0	2.33333333333	2.0	1.66666666667	1.33333333333	1.33333333333	1.66666666667	2.33333333333	1.33333333333	1.0
2012	2.0	2.66666666667	3.0	2.0	3.66666666667	1.66666666667	2.0	2.0	1.33333333333	1.66666666667	1.33333333333	1.66666666667	2.33333333333	1.0	1.0
2013	2.5	3.5	1.5	2.5	2.5	2.0	1.5	1.5	1.0	2.0	1.5	2.0	3.0	1.0	1.0
2014	2.0	3.0	1.0	4.0	2.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0
