year	activ	gener	deform	polit	machin	fundament	sens	basi	futur	diffract	silic	perturb	creat	provid	minim
1984	94.0	72.3333333333	30.3333333333	28.0	16.6666666667	34.6666666667	19.6666666667	18.3333333333	13.6666666667	12.6666666667	10.0	10.3333333333	2.33333333333	4.33333333333	4.33333333333
1985	90.3333333333	76.6666666667	32.0	27.0	22.0	34.0	19.6666666667	20.6666666667	12.3333333333	15.6666666667	13.3333333333	10.6666666667	2.33333333333	6.0	6.0
1986	82.3333333333	80.3333333333	32.0	27.0	28.0	31.6666666667	18.3333333333	19.6666666667	13.6666666667	16.0	14.6666666667	10.6666666667	3.0	6.0	5.33333333333
1987	76.6666666667	77.3333333333	35.3333333333	28.6666666667	32.6666666667	31.0	17.3333333333	18.3333333333	15.3333333333	16.0	17.0	10.3333333333	3.66666666667	6.33333333333	7.0
1988	76.3333333333	81.3333333333	40.6666666667	28.6666666667	33.0	31.0	19.6666666667	17.0	14.0	14.3333333333	12.3333333333	9.66666666667	4.0	4.0	6.33333333333
1989	83.3333333333	92.6666666667	43.0	29.3333333333	36.0	31.6666666667	20.3333333333	16.6666666667	15.3333333333	16.3333333333	14.6666666667	9.66666666667	6.0	3.33333333333	6.33333333333
1990	91.3333333333	95.6666666667	46.6666666667	30.6666666667	36.3333333333	37.6666666667	18.6666666667	18.3333333333	15.3333333333	17.0	14.6666666667	10.3333333333	8.0	4.0	5.66666666667
1991	98.6666666667	91.3333333333	43.0	35.0	41.3333333333	35.0	15.6666666667	20.0	18.6666666667	18.3333333333	18.6666666667	10.6666666667	8.66666666667	7.0	7.0
1992	104.666666667	82.6666666667	42.6666666667	38.3333333333	40.0	35.0	19.6666666667	18.3333333333	16.0	17.6666666667	14.3333333333	10.3333333333	9.66666666667	9.0	8.33333333333
1993	107.0	87.6666666667	36.6666666667	45.0	42.0	32.0	21.6666666667	19.0	18.0	16.0	12.6666666667	10.0	9.66666666667	11.6666666667	8.33333333333
1994	105.666666667	98.0	39.3333333333	47.0	39.6666666667	31.3333333333	29.3333333333	19.0	24.0	17.0	10.0	9.66666666667	12.3333333333	9.33333333333	8.33333333333
1995	107.0	106.333333333	43.0	46.3333333333	38.0	35.0	25.3333333333	24.3333333333	27.0	16.0	10.6666666667	8.66666666667	12.0	9.66666666667	10.0
1996	108.0	104.333333333	45.3333333333	51.6666666667	38.3333333333	34.0	28.6666666667	25.3333333333	28.3333333333	15.3333333333	10.3333333333	9.0	12.6666666667	7.66666666667	13.6666666667
1997	116.333333333	102.333333333	47.3333333333	56.0	36.3333333333	36.0	26.0	27.0	28.0	14.3333333333	11.3333333333	9.33333333333	15.3333333333	9.66666666667	15.0
1998	136.666666667	97.0	49.0	58.6666666667	37.3333333333	37.3333333333	26.6666666667	28.3333333333	28.0	13.0	11.3333333333	11.0	18.3333333333	10.3333333333	13.0
1999	139.0	102.666666667	52.0	54.0	36.0	36.6666666667	28.6666666667	25.0	30.0	14.0	12.6666666667	12.0	20.3333333333	11.3333333333	11.3333333333
2000	149.666666667	115.0	56.3333333333	55.0	37.0	42.0	45.0	22.0	31.6666666667	13.0	11.3333333333	11.6666666667	23.3333333333	13.3333333333	11.0
2001	128.0	127.0	59.0	62.0	37.6666666667	43.0	59.0	18.0	35.3333333333	12.6666666667	11.6666666667	10.3333333333	27.3333333333	11.0	12.0
2002	132.666666667	137.333333333	56.6666666667	64.6666666667	37.3333333333	46.6666666667	68.3333333333	19.3333333333	41.6666666667	14.3333333333	14.0	9.66666666667	30.3333333333	11.0	13.0
2003	114.0	130.0	46.6666666667	59.3333333333	34.6666666667	44.3333333333	56.0	21.6666666667	40.0	13.3333333333	14.6666666667	8.66666666667	32.0	11.3333333333	12.0
2004	121.333333333	126.666666667	39.6666666667	58.0	37.6666666667	47.0	54.3333333333	24.0	56.3333333333	14.3333333333	13.3333333333	7.66666666667	32.0	13.0	12.0
2005	128.333333333	133.0	37.3333333333	66.6666666667	42.0	51.0	57.3333333333	30.0	60.6666666667	11.3333333333	9.33333333333	5.33333333333	34.0	14.6666666667	11.0
2006	144.666666667	150.0	43.3333333333	72.6666666667	52.3333333333	57.0	65.6666666667	36.3333333333	68.3333333333	11.3333333333	8.0	8.33333333333	30.0	17.3333333333	11.3333333333
2007	162.0	179.666666667	50.0	82.3333333333	58.3333333333	71.6666666667	83.0	44.0	71.0	11.3333333333	10.3333333333	11.0	37.3333333333	19.0	11.6666666667
2008	159.0	194.0	58.6666666667	90.0	57.3333333333	79.6666666667	89.3333333333	39.3333333333	81.0	11.0	11.6666666667	15.6666666667	39.6666666667	18.6666666667	11.0
2009	164.0	194.333333333	62.0	98.0	51.3333333333	86.0	94.3333333333	34.6666666667	92.6666666667	10.3333333333	12.0	13.6666666667	42.3333333333	14.3333333333	11.3333333333
2010	143.333333333	183.0	57.3333333333	91.6666666667	46.0	76.3333333333	97.0	28.3333333333	88.6666666667	9.66666666667	10.6666666667	14.0	39.0	12.0	11.3333333333
2011	146.0	173.0	52.6666666667	68.0	46.6666666667	75.0	98.0	27.6666666667	88.3333333333	8.66666666667	10.6666666667	14.0	40.6666666667	11.0	13.3333333333
2012	135.666666667	172.333333333	51.0	57.0	48.6666666667	73.0	101.666666667	26.0	84.3333333333	6.66666666667	10.3333333333	12.6666666667	41.6666666667	13.6666666667	12.6666666667
2013	145.0	166.5	52.0	46.5	48.5	74.0	93.5	23.5	86.5	4.5	9.0	11.5	40.0	15.5	13.0
2014	133.0	165.0	58.0	56.0	49.0	68.0	91.0	24.0	80.0	4.0	6.0	5.0	35.0	19.0	10.0
