year	state	cooper	california	washington	alaska	gordon	colorado	harmon	partnership	florida	black	carolina	virginia	arizona	michigan
1994	133.666666667	280.333333333	61.0	27.3333333333	19.0	25.0	22.6666666667	19.3333333333	22.3333333333	18.3333333333	12.3333333333	13.0	11.0	11.3333333333	11.6666666667
1995	135.333333333	301.666666667	54.3333333333	20.6666666667	17.6666666667	24.6666666667	20.3333333333	18.3333333333	22.3333333333	17.6666666667	15.3333333333	13.6666666667	11.3333333333	10.3333333333	10.3333333333
1996	135.333333333	317.666666667	53.6666666667	21.0	18.3333333333	25.3333333333	20.6666666667	16.6666666667	24.6666666667	20.0	15.0	13.0	11.3333333333	7.66666666667	10.6666666667
1997	142.333333333	307.0	59.3333333333	19.3333333333	25.0	25.6666666667	20.3333333333	16.3333333333	28.3333333333	20.0	16.0	15.0	10.0	9.33333333333	10.6666666667
1998	141.0	288.333333333	62.0	23.0	25.3333333333	27.6666666667	22.0	16.6666666667	31.6666666667	19.3333333333	17.6666666667	17.6666666667	9.0	12.6666666667	11.0
1999	134.0	259.0	60.3333333333	23.0	30.0	30.0	20.6666666667	19.0	38.6666666667	16.3333333333	18.6666666667	19.6666666667	11.6666666667	15.3333333333	9.66666666667
2000	133.666666667	244.0	60.6666666667	26.3333333333	29.0	33.3333333333	18.6666666667	19.3333333333	45.0	19.0	22.0	19.6666666667	15.0	16.0	8.0
2001	136.666666667	230.666666667	55.6666666667	25.6666666667	34.0	30.3333333333	16.3333333333	17.6666666667	50.3333333333	20.3333333333	22.3333333333	16.6666666667	16.0	16.3333333333	8.0
2002	136.333333333	227.666666667	52.3333333333	29.0	34.0	30.3333333333	17.0	21.0	55.0	20.6666666667	24.6666666667	15.3333333333	14.0	14.3333333333	9.0
2003	140.333333333	180.0	49.6666666667	31.3333333333	31.3333333333	33.3333333333	15.6666666667	23.3333333333	50.0	16.3333333333	21.0	14.3333333333	11.3333333333	14.3333333333	10.3333333333
2004	145.0	120.666666667	51.6666666667	28.0	33.0	37.3333333333	17.3333333333	25.3333333333	51.0	15.3333333333	25.3333333333	14.0	12.0	12.6666666667	10.3333333333
2005	155.333333333	74.3333333333	51.6666666667	21.3333333333	32.0	37.0	17.0	22.6666666667	48.0	15.3333333333	24.6666666667	11.3333333333	14.0	14.0	8.0
2006	153.333333333	60.6666666667	49.0	16.6666666667	32.3333333333	34.6666666667	19.0	23.0	58.0	13.3333333333	31.0	11.3333333333	15.6666666667	12.3333333333	8.33333333333
2007	167.666666667	73.3333333333	51.3333333333	23.3333333333	30.3333333333	32.3333333333	20.3333333333	23.3333333333	71.6666666667	16.3333333333	34.3333333333	12.6666666667	14.0	15.3333333333	10.0
2008	178.0	70.3333333333	57.0	31.6666666667	27.0	39.6666666667	23.6666666667	21.6666666667	73.0	21.6666666667	37.3333333333	14.0	12.6666666667	15.0	13.0
2009	186.0	72.0	56.3333333333	32.0	30.3333333333	37.6666666667	24.6666666667	17.0	66.0	25.3333333333	35.6666666667	13.3333333333	14.0	16.0	13.6666666667
2010	170.666666667	57.6666666667	53.6666666667	31.0	28.3333333333	37.0	21.6666666667	15.0	50.3333333333	23.6666666667	28.3333333333	12.6666666667	16.6666666667	14.3333333333	13.6666666667
2011	156.333333333	49.6666666667	47.0	27.0	32.6666666667	25.0	19.0	18.0	48.0	22.3333333333	27.0	11.6666666667	19.3333333333	11.0	13.0
2012	148.666666667	48.3333333333	49.3333333333	29.3333333333	29.6666666667	21.3333333333	16.3333333333	17.0	43.0	21.0	23.6666666667	10.3333333333	18.6666666667	10.0	12.0
2013	147.0	52.5	50.0	27.5	29.5	17.5	17.5	17.0	41.5	21.0	23.5	9.0	18.0	7.0	10.0
2014	146.0	50.0	56.0	28.0	23.0	21.0	14.0	11.0	32.0	16.0	19.0	9.0	16.0	8.0	8.0
